latitude,longitude,place_type,avg_safe_time,inactivity_time,suspicious_movement,status
30.413093,77.280232,Market,1.0,2.96,1,Risk
17.946627,74.253633,Park,2.0,3.94,1,Risk
18.077322,80.506909,Hotel,6.0,5.33,1,Risk
18.791203,73.843854,Market,1.0,5.39,1,Risk
18.56639,87.609545,Beach,2.0,4.35,1,Risk
28.43757,81.405534,TrekkingTrail,1.0,5.81,1,Risk
36.852511,84.491682,Market,1.0,9.42,0,Risk
11.755991,90.907576,Hotel,6.0,2.5,1,Risk
36.73192,73.166464,TrekkingTrail,1.0,5.93,0,Risk
12.149091,89.653127,MovieHall,3.0,3.01,1,Risk
18.681019,82.30242,Hotel,6.0,4.05,0,Safe
21.222226,80.419923,Museum,2.5,8.19,1,Risk
17.336534,79.664819,Museum,2.5,2.3,0,Safe
10.03179,89.37853,Market,1.0,7.69,0,Risk
26.385226,95.995644,Hotel,6.0,0.76,0,Safe
35.772018,81.693693,Beach,2.0,5.17,0,Risk
19.26647,70.04006,Museum,2.5,7.47,1,Risk
32.413772,96.412344,Temple,1.5,1.19,1,Risk
12.204451,82.07362,TrekkingTrail,1.0,1.29,1,Risk
19.786168,70.555724,Hotel,6.0,6.11,1,Risk
8.294146,90.005935,TrekkingTrail,1.0,0.8,1,Risk
18.628725,93.821945,Museum,2.5,9.5,1,Risk
26.894936,79.430215,Beach,2.0,6.96,1,Risk
25.111712,74.201436,Park,2.0,4.05,1,Risk
12.279742,68.208091,Beach,2.0,5.51,1,Risk
9.995183,92.385012,Beach,2.0,9.75,1,Risk
15.620816,80.393117,MovieHall,3.0,5.53,1,Risk
12.1834,94.313741,Beach,2.0,5.53,0,Risk
8.250377,76.934639,Market,1.0,3.04,0,Risk
12.287911,93.436602,Hotel,6.0,2.62,0,Safe
11.189491,69.146793,Market,1.0,8.12,1,Risk
27.224497,95.079076,Museum,2.5,4.72,1,Risk
14.719514,86.716353,Beach,2.0,0.64,1,Risk
30.032443,77.002072,TrekkingTrail,1.0,6.39,1,Risk
12.718438,93.35343,Park,2.0,9.36,0,Risk
21.417596,86.479496,MovieHall,3.0,3.97,1,Risk
22.153575,69.848799,Museum,2.5,3.57,1,Risk
17.573613,72.503265,Beach,2.0,4.19,0,Risk
20.346618,88.2024,TrekkingTrail,1.0,9.67,1,Risk
27.194126,89.35865,Park,2.0,4.76,1,Risk
31.452698,71.772347,Beach,2.0,3.57,1,Risk
36.625376,91.476597,Hotel,6.0,9.52,0,Safe
16.096161,81.837957,Hotel,6.0,3.05,0,Safe
19.443225,70.708421,Hotel,6.0,9.59,0,Safe
26.242004,91.379342,MovieHall,3.0,6.02,1,Risk
29.052023,71.599767,Hotel,6.0,1.61,0,Safe
8.866955,95.148696,Park,2.0,3.59,1,Risk
23.968631,86.173386,Beach,2.0,7.39,1,Risk
30.700285,93.123904,Hotel,6.0,7.18,0,Safe
14.072909,76.947481,TrekkingTrail,1.0,8.03,0,Risk
22.987314,71.558792,Hotel,6.0,5.65,1,Risk
17.527397,81.468375,Market,1.0,4.01,0,Risk
15.96794,87.482616,Museum,2.5,6.46,1,Risk
22.896513,83.05638,TrekkingTrail,1.0,6.75,1,Risk
28.196057,87.757298,Hotel,6.0,4.5,1,Risk
35.528757,83.641132,Beach,2.0,2.7,0,Safe
29.265242,90.04358,TrekkingTrail,1.0,6.44,0,Risk
28.927798,83.396016,Beach,2.0,3.09,1,Risk
19.774584,70.03138,Museum,2.5,1.21,1,Risk
8.989007,94.009749,MovieHall,3.0,1.37,1,Risk
17.249681,74.460101,TrekkingTrail,1.0,9.63,0,Risk
21.115222,78.601684,Park,2.0,0.85,0,Safe
25.337016,75.594495,TrekkingTrail,1.0,6.96,1,Risk
29.462508,74.384692,Museum,2.5,7.08,0,Risk
20.755069,73.234919,MovieHall,3.0,2.56,0,Safe
13.254206,77.722922,Park,2.0,5.8,0,Risk
30.863823,95.201933,TrekkingTrail,1.0,3.74,0,Risk
12.150862,77.894534,MovieHall,3.0,2.43,1,Risk
28.437024,73.742566,Hotel,6.0,2.55,0,Safe
25.175019,73.128405,TrekkingTrail,1.0,6.42,1,Risk
20.661437,95.293667,Market,1.0,8.99,0,Risk
33.938538,72.103409,Museum,2.5,2.96,1,Risk
23.698783,69.909186,TrekkingTrail,1.0,0.9,1,Risk
27.782355,69.463149,MovieHall,3.0,8.05,1,Risk
35.527597,71.284985,TrekkingTrail,1.0,5.9,0,Risk
30.539158,83.226494,TrekkingTrail,1.0,9.79,1,Risk
13.129705,70.689534,Market,1.0,8.73,1,Risk
